id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
4529,Cat and mouse are friends,Cats and mice are enemies,Cats eat mice so they are enemies,A mouse is considered prey for a cat.,A mouse is scared of a cat because cats often attack mice.,Cats and mice are mammals,Cat and mouse living environment is different,Cats eat mice so they are enemies,2
4530,This watermelon came from glaciers.,This water came from glaciers.,watermelons grow from soil in normal cases.,Watermelon do not grow in glaciers,THE WATER CAME FROM GLACIERS,watermelons grow from soil in normal cases.,glaciers didn't have the same color as watermelons.,watermelons lack of enough water compared to glaciers.,0
4531,You are likely to find a ghost,You are likely to find a horse,Ghost has no shape,Ghost cannot found like you.,Not many people claim to have encountered a ghost.,Ghost has no shape,Ghost don't like you,You are a blind,0
4532,We hold a wedding party for someone's birthday.,We hold a birthday party for someone's birthday.,We hold a wedding party only for those who are ready to get married.,If it's a Wedding Party then it would not be a birthday party they are different,birthday is not a wedding day,We hold a wedding party only for those who are ready to get married.,A wedding party costs more money than a birthday party.,People have more fun in a birthday party than in a wedding party.,0
4533,You may find an anteater in the forest,You may find an elephant in the forest,The anteater is extinct,Anteaters are not forest animals.,Forest is not a place where anteater don't live.,Anteaters used to live in the forest,The anteater is extinct,Anteater looking for food in the forest,1
4534,George is a racist. George loved his Mexican supervisor,George is a racist. George hated his Mexican supervisor,A racist is one who makes negative judgements about people who are different,Racists do not like people of who are not of their own ethnic background.,"A racist generally is equated with hate, not love.",A racist is one who makes negative judgements about people who are different,who makes negative judgements about all people can not be defined as a racist,who makes positive judgements about others can not be defined as a racist,0
4535,You would go to a swimming pool for dinner.,You would go to a restaurant for dinner.,There are no dinner served in a swimming pool.,swimming pool for swim,There is no food at swimming pools,The dinner served by the swimming pool is expensive.,There are no dinner served in a swimming pool.,The dinner served by the swimming pool isn't tasty.,1
4536,A one-legged person needn't boot,A one-legged person needs only one boot.,The foot of a one-legged person need to be protect,"Whether or not one should ""boot"" has nothing to do with whether the person has one leg or two.",A ONE LEGGED PERSON CAN'T NEED BOOT,Nobody need boot,The foot of a one-legged person need to be protect,Everyone has two legs,1
4537,Amy taught her dog to shake teeth,Amy taught her dog to shake hands,"Amy's teeth cannot be shaken, and nor the dog's",Dogs can not shake there teeth,Shaking teeth is not a trick people teach to dogs.,Touching a dog's teeth is very dangerous,A dog cannot understand how to shake teeth,"Amy's teeth cannot be shaken, and nor the dog's",2
4538,Something that might happen as a consequence of attending a classical concert is you might enjoy a movie,Something that might happen as a consequence of attending a classical concert is you might enjoy the music,A classic concert does not play movies.,concert is not a movie,classical concert contain music only,A movie is too noisy for a classic concert.,The light for a classic concert is not suitable for a movie,A classic concert does not play movies.,2
4539,An activity you can do is to hurt people,An activity you can do is to help people,Hurting people is illegal,Hurting people is not a nice thing to do.,Hurting people is not a recommended activity.,Hurting people is illegal,Hurting people is impolite,Hurting people cannot solve any problems,0
4540,We felt very full after we left the gym.,We felt very full after we left the restaurant.,"we will cost energy when we in the gym,so we won't be full.",Gym is not a place to be felt full.,gym for workout,the gym is very big.,the restaurant and th gym are in the same city.,"we will cost energy when we in the gym,so we won't be full.",2
4541,"When Sungura and Fox emerged, all the animals grasped.","When Sungura and Fox emerged, all the animals gasped.",animals can't grasp each other.,"WHEN SUNGURA AND FOX EMERGED, ALL THE ANIMALS STARED.",All the animals are scared of them so they will not grasp.,animals didn't gasp when grasping.,animals didn't grasp their preys.,animals can't grasp each other.,2
4542,The sun rises from the west every day,The sun rises from the east every day,The direction of rotation of the earth is from west to east,according to science sun always rises from east,THE SUN DOESN'T RISES IN WEST,The direction of rotation of the earth is from west to east,The rotation of the earth led to the day and night,The rotation of the earth led to the day and night,0
4543,aprons keep out the rain,raincoats keep out the rain,Apron is mainly to prevent dirty not rain,Most aprons absorb water and are not used as weather protection.,Aprons are worn in the kitchen to protect your clothes from getting baking ingredients on them.,Apron is mainly to prevent dirty not rain,No one wears an apron when it rains,The apron does not dry easily on a rainy day,0
4544,a moving sidewalk is for swimming,a moving sidewalk is for transportation,Moving sidewalks don't store water and you can't swim,One cannot go swimming on a moving sidewalk.,A sidewalk does not have enough water to swim.,There is a swimming pool next to the moving sidewalk,Moving sidewalks don't store water and you can't swim,Across the moving sidewalk is a swimming pool,1
4545,waste water is drinkable,Mineral water is drinkable,Waste water is harmful and cannot be drunk directly,It's not safe to drink waste water.,"Waste water is considered not potable, in other words not suitable for drinking, or using to clean, wash or perform daily hygienic tasks with.",The waste water is mainly domestic and industrial sewage,Waste water is harmful and cannot be drunk directly,The waste water can continue to be used after being treated,1
4546,Sleeping is for exchanging ideas.,Communicating is for exchanging ideas.,"Sleeping is for relaxing, not sharing.",SLEEPING IS FOR GETTING REST.,People do not communicate with others in their sleep,We don't want to sharing views while sleeping.,"Sleeping is for relaxing, not sharing.",Sleeping makes people tired of exchanging ideas.,1
4547,"If you want to survive on a deserted island, you need to find money","If you want to survive on a deserted island, you need to find water",Money do not necessarily work on a deserted island,"If an island is deserted, it would generally not contain inhabitants to exchange money with.","If no one else is on the island, money is worthless.",It is very hard to find money on a deserted island,Life is more important than money on a deserted island,Money do not necessarily work on a deserted island,2
4548,All students play with computers.,All programmers work with computers.,Some students use their computers for work too.,Many students don't have computers.,Computers are not accessible to everybody due to costs.,Some students use their computers for work too.,Students don't have their own computers.,Students don't know how to use a computer.,0
4549,Wash your feet before eating,Wash your hands before eating,People don't eat with their feet,Washing your feet is not necessary before eating.,feet not used for eating,The foot does not have any effect when people eat,Feet can help people go to places to eat,People don't eat with their feet,2
4550,The baby crawled when he was born.,The baby cried when he was born.,A new-born baby can't crawl.,A baby doesn't crawl until later on.,Babies cannot crawl at birth,A new-born baby is very frightened.,A new-born baby don't like crawling.,A new-born baby can't crawl.,2
4551,Drinking would make you want to empty your stomach,Drinking would make you want to empty your bladder,The stomach is not the last organ of the human body to store water,Your body gets rid of extra liquid through the bladder.,Liquid beverages are considered refreshments.,The stomach is not the last organ of the human body to store water,The stomach and bladder can temporarily store moisture,The stomach and bladder are two different organs in the body,0
4552,You walk around when watching a play in a theater.,You sit when watching a play in a theater.,It's impolite to walk around in a theater.,YOU SIT IN A SEAT WHEN WATCHING A PLAY IN A THEATER,Walking around a theater would make a lot of noise.,It's impolite to walk around in a theater.,It's tired to walk around in the theater.,It's bored to walk around in the theater.,0
4553,One of the things you do when you wage war is kiss people,One of the things you do when you wage war is kill people,People who wage war are more ruthless and don't want to kiss people,war doesn't show love,We kiss people we love.,People who wage war are more ruthless and don't want to kiss people,Pictures on the walls show a war-torn mother kissing her children in the ruins,Their wives would cry and kiss their husbands before they left for war,0
4554,Something you find at a wedding is rocket,Something you find at a wedding is friends,Rocket base can't be used to hold a wedding,Rockets do not belong at weddings.,rocket is not to find in a wedding,You may find the rocket model at the wedding,Rocket base can't be used to hold a wedding,The rocket model looks very small at the wedding,1
4555,Iron Man is a male hero in the Marvel universe,Iron Man is a female hero in the Marvel universe,Iron Man's wife gave birth to a daughter,Iron man has always been a man,Iron Man is not a female hero.,Iron Man's wife gave birth to a daughter,Iron Man is very popular in the Marvel universe,Iron Man is the earliest superhero in the Marvel universe,0
4556,The bomb is made of wood,The bomb is made of sulfur,Wood is not the raw material for making bombs,Wood does not explode.,Bombs have to be made of explosive material.,Bomb explosion can destroy wood,Wood is not the raw material for making bombs,Wood and bombs are different in shape,1
4557,I want to buy a child.,I want to buy a car.,It's illegal and immoral to buy a child.,Children are not for sale.,It is illegal to purchase a child,A child is more expensive than a car.,It's illegal and immoral to buy a child.,It's more difficult to buy a child than a car.,1
4558,stones can have freckles.,children can have freckles.,stones don't hace live so they can't have freckles.,STONES IS NOT A CHILDREN,stones aren't human.,stones may be smooth.,children like to play with stones.,stones don't hace live so they can't have freckles.,2
4559,Jewelry is worthless,Jewelry is valuable,"Jewelry is very rare, so it is very valuable",Jewelry is is expensive.,Jewelry is valuable because of diamonds and gold,People usually like to wear jewelry,"Jewelry is very rare, so it is very valuable",Jewelry is a symbol of the status of a person,1
4560,Wine is solid,Wine is liquid,The raw material of the wine is water,Wine is a liquid substance.,You can't drink a solid.,The raw material of the wine is water,Wine is more valuable than water,Water does not have alcohol,0
4561,The effect of howling with cry is joy within,The effect of howling with laughter is joy within,Crying can't bring people happiness,When you howl when you're crying it is not joyous,"""cry"" is not an emotion that one can howl with, nor does it represent joy.",Crying can't bring people happiness,Crying and laughing are two opposing emotions,Crying and laughing are two different emotional expressions,0
4562,An actor plays games in a play.,An actor plays a character in a play.,An actor is not allowed to play games in a serious play.,A play is a story told by acting it out.,Plays are not a form of entertainment that inherently involves games.,The actor hates playing games.,The actor loves his character very much.,An actor is not allowed to play games in a serious play.,2
4563,Fish likes cats,Cats likes fish,It's dangerous for fish likes cats,"There is no evidence to suggest that , moreover fishes are eaten by cats not vice versa.",Fish live in water,Cats is ugly,It's dangerous for fish likes cats,Fish likes nothing,1
4564,Babies have no mother.,Babies have a father and a mother.,All babies have a mother by blood.,without mother no babies born,Mothers are currently required for the production of human babies.,A baby need his mother's love.,A mother helps a lot to a baby's growth.,All babies have a mother by blood.,2
4565,There are many tomato soap in the bowl.,There are many tomato soup in the bowl.,soap can't be put in the bowl.,There is no such thing as tomato soap.,Tomato soup is real tomatoe soap is not real,soap is different from soup.,soap has the same color as bowl.,soap can't be put in the bowl.,2
4566,Sandy grew up on the moon,Sandy grew up on the farm,The moon is not suitable for humans living,No one has ever grown up on the moon.,There are no people living on the moon,The moon is too far away from the Earth,The moon is not suitable for humans living,There is not prosperous society on the moon,1
4567,Pamela drove in the border,Pamela drove across the border,It is a wrong words in the border,Pamela cannot drove in the border,You cannot drive a border,The road to the border is not for cars,Pamela's is bigger than the entrance of the border,It is a wrong words in the border,2
4568,A rear courtyard is in front of a building,A front courtyard is in front of a building,The rear courtyard is usually built behind the building,courtyard is mostly in front of a bulding,A REAR COURTYARD IS NOT IN FRONT OF A BUILDING,The building should have both front yard and back yard,The rear courtyard is usually built behind the building,The front and rear courtyard designs are generally different,1
4569,Janice fry a birthday cake,Janice baked a birthday cake,Fry is not a good way to make a birthday cake,You can't fry a birthday cake.,People have birthday cake during a birthday.,Janice dislike birthday cake,birthday cake is out of trend,Fry is not a good way to make a birthday cake,2
4570,Jane put the notes recorded on a leaf.,Jane put the notes recorded in a book.,It's unsafe and inefficient to put notes on the leaf.,Notes cannot be recorded on a leaf.,Notes are not usually written on a leaf.,Writing notes on the leaf is difficult.,There are not enough leaves to put notes on.,It's unsafe and inefficient to put notes on the leaf.,2
4571,Lightning struck the sun,Lightning struck the tree,The distance between lightning and the sun is too far to struck the sun,Lightning can't strike out into space,The sun is not out when there is lightning.,The distance between lightning and the sun is too far to struck the sun,Both lightning and the sun have a lot of energy to destroy a tree,Lightning and the sun are in the solar system and can't touch them,0
4572,A dental office is for physical examination.,A dental office is for examining teeth.,Dental office don't provide a complete set of medical examination.,A family practice doctor gives a physical examination.,A doctor's office is for physical examinations and check ups.,Dental office is too small to provide physical examination.,Dental office don't have enough doctors to provide physical examination.,Dental office don't provide a complete set of medical examination.,2
4573,Almost anyone can master foreign language,Almost anyone can master their native tongue,In the world people who master foreign language are less than 50%,Foreign languages are difficult for most to learn.,Not everyone can master foreign language.,In the world people who master foreign language are less than 50%,people know less about foreign language,there is no foreign language,0
4574,Movie is used to help an audience visualize the simulated environment,Scenery is used to help an audience visualize the simulated environment,Scenery is the best one to help an audience visualize the simulated environment rather than movie,movie may not stimulate environment,Scenery is created for a movie to help people get a sense of where the storyline takes place.,Movie is used to pass the message,Scenery is the best one to help an audience visualize the simulated environment rather than movie,Movie is used to kill time,1
4575,Something you might do is hold a stone when you play the game,Something you might do is hold a phone when you play the game,Stone can't be used to play games,A stone is not a tool for better game playing.,Stones are not used in the game,There may be stones appearing in the game interface,Maybe some games are named after stones,Stone can't be used to play games,2
4576,you need a fork to eat soup,you need a spoon to eat soup,a fork can't hold the soup.,YOU SHOULD USE A SPOON TO EAT SOUP BECAUSE A FORK CAN'T HOLD LIQUID.,A fork can not contain soup,a fork is used to take food like meat.,a fork can't hold the soup.,people prefer a spoon to a fork.,1
4577,The brain stores water,The brain stores memories,Water cannot enter the brain,The brain has some water but it doesn't store it.,The brain's purpose is to think,Water would flow out of the brain,Water would flush the brain,Water cannot enter the brain,2
4578,You may find a train in the sky,You may find a bird in the sky,The train will fall in the sky,Trains cannot fly in the sky.,trains can only be driven on railroad tracks,The train is smaller than the sky,The train will fall in the sky,The color of the train and the sky are different,1
4579,The car needs the track to drive,The train needs the track to drive,Car needs to be on the road,Most cars do not having tracking technology,Cars are driven on open roads.,Car needs to be on the road,The speed of the car is slower than the train,The train is faster than the car,0
4580,Cauliflower is a vegetarian.,Cauliflower is a vegetable.,vegetarians are who doesn't eat meat.,Cauliflower is classified as a vegetable.,Only people can be vegetarian,vegetarians are who doesn't eat meat.,vegetarians don't like vegetables.,cauliflower doesn't taste delicious.,0
4581,Oscar got a clever tire,Oscar got a flat tire,Clever can not use as a adjective for tire,Tires do not have intelligence,A tire is not a human to be clever.,The tire of Oscar is stupid,Clever can not use as a adjective for tire,Oscar has no tire,1
4582,A rabbit can run.,A horse can run.,"Rabbit can only jump, but not run.",Usually we use the word 'hop' to describe a rabbit's gait,Rabbits usually hop and don't run.,Rabbits' legs are shorter than horses' .,"Rabbit can only jump, but not run.",Rabbits don't have as much power as horses.,1
4583,We can see the sun tonight.,We can see the moon tonight.,Sun can not be seen at night.,The sun is only out during the day.,Sun cannot see in the night.,The sun is too bright for the night.,Sun can not be seen at night.,The sun is too hot for the night.,1
4584,Bee collecting honey on a stone,Bee collecting honey on a flower,There is no honey on the stone,A stone is not a hollow object to collect honey.,stone is not a flower,The bee falls on a stone,There is no honey on the stone,The bee falls on a flower,1
4585,One can open a plate,One can open a door,Plate cannot be closed,Plates are flat.,Plates don't open,there is no knob on a plate,a plate with knob patterns is flat,Plate cannot be closed,2
4586,A stone can be used for eating.,An apple can be used for eating.,A stone is too hard to eat.,Stones have no use if you want to eat.,Stones do not provide nutrition,A stone is too hard to eat.,A stone doesn't taste as good as an apple.,A stone is too dirty to eat.,0
4587,"John ran around the ship's poop, and fell in.","John ran around the ship's pool, and fell in.",people can't run on the ship's poop.,A ship doesn't usually feature a big pile of poop.,poop is highest desk of a ship,john is too tired to run around.,the ship doesn't have enough poops.,people can't run on the ship's poop.,2
4588,We will laugh when we see a tragedy.,We will laugh when we see a comedy.,Most people will feel sad when they see a tragedy.,When we see a tragedy we will cry.,People don't laugh at tragedy,It's impolite to laugh at the tragedy.,Most people will feel sad when they see a tragedy.,The tragedy is so bored that it can't make us laugh.,1
4589,A thing you might want to do before traveling to another country is to download a movie,A thing you might want to do before traveling to another country is to download a map,A movie might not help a traveler in a new place,A movie would not help someone when they are traveling to another country.,movies is not necessary to travelling another country,Downloading a movie needs good wifi signal,Downloading a movie before traveling is a waste of time,A movie might not help a traveler in a new place,2
4590,Jane doesn't know her birthday.,Jane doesn't know her birthday party.,It's weird for someone who doesn't know his birthday.,Everyone should know their birthday,Everyone knows when they are born since it is on all their documentation.,It's weird for someone who doesn't know his birthday.,Jane cares a lot about her birthday.,Jane cares a lot about her age.,0
4591,Telephones can require water to work,telephones can require electricity to work,Water can not afford power to telephones,Water would short out a telephone.,Electricity and water do not work well together.,Telephones can require nothing to work,Water is hard to get in work scenarios of telephones,Water can not afford power to telephones,2
4592,Will had climbed many more monitors.,Will had climbed many more mountains.,no one can stand on a monitor.,You would break a monitor if you climbed on it.,Monitors are not generally used for climbing and may crush under the weight of a human.,monitor is not as high as mountain.,no one can stand on a monitor.,there aren't so many monitors.,1
4593,The preparation to become a doctor is to get a lawyer's qualification certificate,The preparation to become a lawyer is to get a lawyer's qualification certificate,Doctor can't get lawyer's qualification certificate,Doctors have to go to medical school for their education and preparation.,Doctor is not a person to get a lawyer's qualification certificate.,A lawyer and doctor can be friends,Doctor can't get lawyer's qualification certificate,Lawyers and doctors work differently,1
4594,Dressing nice can disturb people.,Dressing nice can impress people.,People always want to see others dress nice.,nice means it would be pleasant for them,"Dressing very messy is disturbing, but very nice is not.",It's very hard to dress nice.,No one cares about how you dress.,People always want to see others dress nice.,2
4595,If you want to take a course then you should go the toilet,If you want to take a course then you should go the registration office,the toilet is used for excretion,toilet is not a place to take a course,toilet is meant only for excretion,the toilet is too dirty for class,the toilet is not big enough,the toilet is used for excretion,2
4596,A man lived on the moon.,A man landed on the moon.,No man can live on the moon by now.,A MAN SHOULD CAN'T LIVE IN THE MOON.,People can't live on the moon,No man can live on the moon by now.,Living on the moon costs much money.,Living on the moon costs lots of energy.,0
4597,Northerners wear t-shirts outdoors in winter,Northerners wear coat outdoors in winter,It's cold outdoors in the north in winter,WINTER IS VERY COOL IN NORTHERN,It is too cold to do this in the north.,It's hot indoors in the north in winter,It's cool outdoors in the south in winter,It's cold outdoors in the north in winter,2
4598,Lisa taught John how to breath,Lisa taught John how to read,Everyone knows how to breath,BREATH IS NOT A READ,breath is natural,John will not learn how to breath,Everyone knows how to breath,Lisa have no patience to teach anyone,1
4599,One of the things you do when you sleep is hold a book,One of the things you do when you read is hold a book,No need to take a book when sleeping,cannot do anything when sleep,A book would fall out of your hand if you were asleep.,I didn't read books when I was sleeping,No need to take a book when sleeping,"The word ""sleeping"" may be written in a book",1
4600,Groves can be used to protect your hands.,Gloves can be used to protect your hands.,no one use groves to protect their hands.,Groves are not clothing,A grove is a group of trees.,groves are too big to protect our hands.,groves are not as soft as gloves.,no one use groves to protect their hands.,2
4601,Wood can conduct electricity,Metal can conduct electricity,Wood is an insulator that is not conductive,Electricity does not flow through wood.,Wood is an insulator.,Wood can be destroyed after being electrically conductive,Wood can be seen and electricity can't,Wood is an insulator that is not conductive,2
4602,Jerry likes to have bread with soy sauce for breakfast,Jerry likes to have bread with butter for breakfast.,Soy sauce is too salty for bread,Soy sauce would make the bread fall apart.,soy sauce is not perfect for bread,Soy sauce is too dark for bread,Soy sauce is too salty for bread,Jerry does not like soy sauce,1
4603,You find a planet around in bedroom,You find a planet around in space,Planets are in space rather than bedroom,planet bigger than bedroom,it is physically impossible to fit a planet in my bedroom.,Planets are in space rather than bedroom,Bedroom is small for a planet,You can not find any planet,0
4604,The plant is yellow,The plant is green,Plants are green because they have chlorophyll,Plants require chlorophyll.,The color of the plant is green.,The chlorophyll of plants is not yellow,Plants are green because they have chlorophyll,The chlorophyll of plants cannot be seen by the naked eye,1
4605,The effect of going to the store is gaining money,The effect of going to the store is spending money,The store owner will only ask for your money and not give it to you,Items are purchased at a store which requires someone to spend money.,STORE IS NOT FOR GAINING MONEY,There are so many things in the store that you want to pay for them,Money allows us to go to the store and buy whatever we want,The store owner will only ask for your money and not give it to you,2
4606,Something you need to do before you eat dinner is eat food,Something you need to do before you eat dinner is buy food,You can eat before dinner but you don't have to,if you buy food you can eat food,There is no need to eat food if you are going to have a meal soon,We all like to prepare a lot of food for dinner,You can eat before dinner but you don't have to,We also sometimes want to eat after dinner,1
4607,You are likely to find a soup dish around in a bathroom,You are likely to find a soap dish around in a bathroom,soup dish can be find in kitchen,Soup dishes can be found in the kitchen or pantry,Because soup dishes belong in the kitchen,soup dish can be find in kitchen,soap dish can be find in kitchen like soup dish,soap cannot be put into soup dish,0
4608,If you want to surf the weapon then you should buy a computer first.,If you want to surf the web then you should buy a computer first.,weapons can also be found in some magazines.,A weapon is not something that can be surfed.,You don't surf weapons,you can't find weapons on the web.,computer is not a kind of weapon.,weapons can also be found in some magazines.,2
4609,Sally bought a airliner,Sally bought a new car.,Single people is not allowed to buy a aerliner,AIRLINER IS NOT A BUYING THING,Airliners are way too expensive for most people to purchase.,Sally can not afford the airliner,Single people is not allowed to buy a aerliner,Sally just think of buying a airliner,1
4610,They had walked two meters.,They had walked two miles.,two meters are too short to walk.,Walking two meters is a very short distance.,Two meters is not considered walking.,there didn't exist two meters.,it's dificult for them to walk two meters.,two meters are too short to walk.,2
4611,Dad washes his feet before every meals,Dad washes his hands before every meals,Dad does not need feet for meals so he does not need to wash them,hands are used for eat meals,You don't eat with your feet.,Dad always keeps his feet clean so he does not need to wash them,Dad does not need feet for meals so he does not need to wash them,Dad has washed his feet just half an hour ago so he does not need to wash them again,1
4612,I am trying not to smoke cilantro.,I am trying not to smoke cigarettes.,cilantro is a kind of plant.,"Good for you but why would you be smoking cilantro, that makes you sound like you smoke weed!",Nobody smokes cilantro.,smoking cigarettes is unhealthy.,cilantro is a kind of plant.,cilantro doesn't smoke like cigarettes.,1
4613,Stones feel soft.,Silk feels soft.,Stones are rough and hard.,Stones feel hard.,stone is a hard thing,Stones are heavier than silk.,Stones are rough and hard.,Silk is more valuable than stones.,1
4614,Stone is one of the materials for making knives,Iron is one of the materials for making knives,Knives made of stone are not sharp,Knives are metal,Stone is not sharp enough to make a knife,Knife can cut meat,Knife can hurt people,Knives made of stone are not sharp,2
4615,boats can float in the sky,boats can float in water,boats are designed to travel on water,Boats do not have wings to fly.,BOATS CAN'T FLOAT IN THE SKY,boats are too heavy to fly in the sky,boats need paddles to move forward,boats are designed to travel on water,2
4616,Something you find at a resturant is a tiger.,Something you find at a resturant is a hamburger,a tiget live in the wild or in the zoo.,Tigers are large and often dangerous animals that are meant to live free in the wild.,Tigers belong in zoos.,a tiget live in the wild or in the zoo.,a tiger will eating stealthily in the resturant.,a hamburger will be ate by the tiger.,0
4617,A vase is a tableware,A vase is a decorative item,A tableware is for having meals but a case is for decorate,tableware is used to serve and eat meals,A vase is not used to eat with so it is not tableware.,A vase is a cooker,A tableware is for having meals but a case is for decorate,A vase is less been seen on table,1
4618,Chicken in pond,Duck in pond,Chicken can't swim,Chickens are found in farms and not ponds.,Chickens don't have waterproof feathers and do not swim so they would not be in a pond.,Chicken is smaller than a pond,Chicken fur is waterproof,Chicken can't swim,2
4619,The temperature rises and water turns to ice.,The temperature drops and water turns to ice.,Water can't turn into ice when the temperature rises.,Water would only turn to ice if the temperature dropped.,Ice melts when temperature rises.,Ice is colder than water.,Water can't turn into ice when the temperature rises.,"Only if you heat ice, it turns to water.",1
4620,The thing you need to do before you go on holiday is sing,Something you need to do before you go on a vacation is pack,Singing is not something to be prepared for vacation,People don't sing for all holidays,no need to sing before go on holiday,People can sing while on vacation,Singing while on vacation can alleviate fatigue,Singing is not something to be prepared for vacation,2
4621,Children preyed together every day.,Children played together every day.,now no one would catch animals for eating by themselves.,preyed doesn't suit to children,Children are not a predator.,preying is not as safe and funny for children as playing.,now no one would catch animals for eating by themselves.,children should prey alone which can help them grow better.,1
4622,Nobody likes chocolate cake,Most people like chocolate cake,Chocolate cake is delicious,Only a few people don't like chocholate cakes.,Someone has to like it,Chocolate cake is delicious,Eating chocolate cake makes you fat,Chocolate cake melts easily,0
4623,You can eat a stone when you are hungry,You can eat a loaf when you are hungry,Stone can't eat,You can't digest a stone,Stones are inedible.,Stone is hard,The stone is round,Stone can't eat,2
4624,You can feed a dog with cat busicuits,You can feed a dog with dog busicuits,Cat busicuits are food for cats,Dogs eat dog food not cat food,Cat treats are not usually given to dogs.,Dogs do not like cat busicuits,Cat busicuits are food for cats,Cat busicuits are too expensive,1
4625,kissing someone is for showing your disgust,kissing someone is for showing your affection,You don't want to kiss someone if you disgust them,You kiss someone to show love,We would not kiss someone we found repulsive,We hate being kissed by people who we disgust,Forced kissing can cause disgust to the person,You don't want to kiss someone if you disgust them,2
4626,Pig is probably in a class,Sheila is probably in a class,Pig is not allowed to be in a class,Pigs are found outdoors,Pigs and other animals do not attend school or classes.,Pig is not allowed to be in a class,Pig is having exam,Pig is in teacher's office,0
4627,The Uranus can be seen from the Moon,The Earth can be seen from the Moon,Uranus is too far away to be seen on the moon,Uranus is way to far away from the moon to be seen.,You wouldn't be on the moon to see a planet,Uranus is too far away to be seen on the moon,Uranus and the moon exist in the universe,we want to study both Uranus and the moon,0
4628,The sun rises from west every day,The sun rises from east every day,The earth rotates from west to east,The west is on the opposite side from the sun rise.,"The sun rises from the east, not west",The earth rotates from west to east,70% of the earth surface is ocean,The sun is much larger a planet than earth,0
4629,One must drink a lot before driving,Drinking will make driving dangerous,Alcohol will make people drunk,"It is illegal to drink and drive, and impairs a person's driving ability.",Drinking before driving is dangerous and can lead to accidents.,Alcohol will make people drunk,Alcohol is not good for health,Alcohol is flammable,0
4630,"When there is a lightning, people always hear the thunder first, and the flash follows","When there is a lightning, people always see the flash first, and the thunder follows",Light travels faster than sound,"Light is faster than sound, so sound cant come before light  when there is lightning.",Flash does not follow the thunder.,Light travels faster than sound,Lightning usually come with storm,Lightning seldom hits people,0
4631,People can make snow ball in summer,People can make snow ball in winter,Summer is too hot for snowing,It does not snow during the summer and thus you cannot make snowballs.,There is no snow in summer to make snowballs.,Summer is too hot for snowing,People like eating ice cream in summer,Some places hardly snow in winter,0
4632,Floor will be safer to walk if there is water on it,Floor will get slippery if there is water on it,Slippery floor will make people fall,Water on floors is generally not safe,Water makes the floor more slippery making it unsafe.,Slippery floor will make people fall,Water will damage wooden floor,People will need to clean the floor if there is water on it,0
4633,Warfare is a bless for human race,Warfare is a disaster for human race,Lots of people will die during a warfare,"Warfare has a negative connotation, so a blessing is nonsensical.",Warfare kills people,Warfare often happens in this world,Some people will be benefitted through a warfare,Lots of people will die during a warfare,2
4634,People need lots of noise for study,People need a quiet place for study,Noise can make people distracted,Noise causes distratcions and is unhelpful when someone is trying to study.,Most people need silence for study,Loud noise can sometimes break the window,Noise can make people distracted,There is not a place absolutely without noise,1
4635,One can have gasoline in their hamburger,One can have cheese in his hamburger,Gasoline is not eatable,Gas and hamburgers don't mix.,Gasoline is not edible,Gasoline is not eatable,Gasoline is used by most of the cars,Gasoline is important for lots of industries,0
4636,People can breath in the water,People will drown in the water,There is no air in the water,People don't have special lungs to breath in the water.,"Lungs are used to process oxygen from air, not liquid.",There is no air in the water,People needs to drink water,There will be no life if there is no water,0
4637,Most products are tax-free,Most product's price contains tax,A government needs tax to operate,Most products does not have tax-free.,Tax is common on products.,A government needs tax to operate,Some governments steal their civilian's privacy,Some governments have personal worship,0
4638,You will make more friends by cursing others,You will make more friends by talk more with others,People will be angry if you curse them,Cursing others does not make you more friends.,Cursing people will anger them not engraciate them.,People will be angry if you curse them,People will be happy if you praise them,People will praise you if you are really good to them,0
4639,People should talk louder in the cinema,People should be quiet in the cinema,Noise can be annoying in the cinema,Talking loud in cinemas disturbs people.,Talking loudly disrupts movies played in cinemas.,It is too loud in the cinema,Noise can be annoying in the cinema,Watching movies make people feel relaxing,1
4640,He wear sunglasses because he is short-sighted,He wear sunglasses because it is sunny here,Sunglasses doesn't help curing short sight,Sunglasses are not prescription.,You don't use sunglasses to solve sight problems.,Sunglasses is cool,Sunglasses help to prevent eyes from being hurt by sunshine,Sunglasses doesn't help curing short sight,2
4641,One should drive car on the pavement,One should drive car on the road,"Pavement is for people to walk, not drive",Pavement is for pedestrians.,Pavement is a place where we cannot drive the car.,There are usually trees planted on the pavement,Some roads don't have pavement,"Pavement is for people to walk, not drive",2
4642,An aircraft landed on my desk,An aircraft landed on the runway,Desks are too small for landing aircraft,a desk is too small to be used for landing for aircraft.,an aircraft is too large to land on a desk,Desks are too small for landing aircraft,Desks are usually wooden,Desks are usually sold with chairs,0
4643,Some people are boiling hotpot on an reactor,Some people are boiling hotpot on an oven,"Reactor is too hot, too dangerous, as well as too expensive for boiling hotpot",Reactors do not boil water for home use.,A reactor puts off a great amount of energy.,"Reactor is too hot, too dangerous, as well as too expensive for boiling hotpot",Reactor can be used for generating electricity,There is radiation in a reactor,0
4644,Engineers built a bridge in the class room,Engineers built a bridge over a river,Class room is too small to contain a bridge,Class room is not a place to built the bridge by engineers.,"A class room is a place a blueprint can be drafted, but not somewhere a bridge would be built.",Class room is too small to contain a bridge,People don't want to walk in the river,People can fish on the river bank,0
